JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Software Engineer,no,0,2,2.5,3.2,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">About Your Role</strong></h4>

<p>As a Software Engineer, you will:</p>

<ul>
<li><strong>Design & Development:</strong> Contribute to the design, development, and maintenance of scalable data infrastructure to support business needs.</li>
<li><strong>Full-Stack Expertise:</strong> Contribute across the stack, especially to back-end, databases, and cloud environments.</li>
<li><strong>AI & Virtual Agents:</strong> Experience or willingness to learn working with Virtual Agent or AI agent systems.</li>
<li><strong>Cloud & DevOps:</strong> Develop and deploy cloud-based solutions on AWS/Azure while ensuring system reliability and performance.</li>
<li><strong>Data Stack Optimization:</strong> Build and optimize data stack solutions (Postgres, ClickHouse, Elasticsearch, etc.).</li>
<li><strong>Infrastructure as Code:</strong> Implement Terraform to automate infrastructure provisioning.</li>
<li><strong>Monitoring & Performance:</strong> Set up server monitoring using Grafana and ensure system health.</li>
<li><strong>CI/CD Pipelines:</strong> Build and manage pipelines in Jenkins for continuous integration and delivery.</li>
<li><strong>Collaboration:</strong> Collaborate with cross-functional teams to solve complex technical challenges and deliver impactful features.</li>
<li><strong>Continuous Improvement:</strong> Continuously improve system performance, reliability, and scalability.</li>
<li><strong>Industry Trends:</strong> Stay current with industry trends and emerging technologies to guide the evolution of our tech stack.</li>
</ul>

<h4><strong style=""color: rgb(255, 0, 0);"">Qualifications</strong></h4>

<ul>
<li><strong>Startup Experience:</strong> Previous experience in a startup or product-first company is a plus.</li>
<li><strong>Engineering Expertise:</strong> Proven experience as an Engineer with a focus on database design and system architecture.</li>
<li><strong>ClickHouse & Columnar Databases:</strong> Strong expertise in ClickHouse or similar columnar databases for managing large-scale, real-time analytical queries.</li>
<li><strong>Elasticsearch & Indexing:</strong> Hands-on experience with Elasticsearch or similar for indexing and searching large datasets.</li>
<li><strong>Backend Development:</strong> Proficient in backend programming languages such as Python, Go.</li>
<li><strong>API Development:</strong> Experience with RESTful API design and development.</li>
<li><strong>Distributed Systems:</strong> Solid understanding of distributed systems, microservices architecture, and cloud infrastructure.</li>
<li><strong>Performance Optimization:</strong> Experience with performance tuning, data modeling, and query optimization.</li>
<li><strong>Problem-Solving:</strong> Strong problem-solving skills and attention to detail.</li>
<li><strong>Communication & Teamwork:</strong> Excellent communication and teamwork abilities.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://job-boards.greenhouse.io/cresta/jobs/4517778008?gh_src=9a5432008us?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Python,,20403
Backend Developer ,no,0,2,5.5,6.2,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Responsibilities</strong></h4>

<ul>
<li><strong>Backend Development:</strong> Develop and maintain robust and scalable backend solutions using Python, Flask, and MySQL.</li>
<li><strong>Code Quality:</strong> Write clean, testable, and modular code, primarily in Python, to create microservices.</li>
<li><strong>Integration:</strong> Collaborate with the front-end development team to integrate user-facing elements with server-side logic.</li>
<li><strong>Testing & Debugging:</strong> Conduct thorough testing and debugging to identify and fix potential issues or bottlenecks in the system.</li>
<li><strong>Documentation:</strong> Develop and maintain documentation for the backend systems, including API specifications and technical documentation.</li>
<li><strong>Cloud Technologies:</strong> Experience with cloud technologies like AWS or Google Cloud would be an added advantage.</li>
</ul>

<h4><strong style=""color: rgb(255, 0, 0);"">Requirements</strong></h4>

<ul>
<li><strong>Experience:</strong> Minimum 1 year of experience in Python development.</li>
<li><strong>Flask Framework:</strong> Hands-on experience with the Flask framework.</li>
<li><strong>Database Proficiency:</strong> Proficiency in working with RESTful APIs, MySQL, and NoSQL databases.</li>
<li><strong>Scalability:</strong> Proven track record in developing and maintaining scalable backend solutions.</li>
<li><strong>Code Quality:</strong> Strong ability to write clean, testable, and modular code.</li>
<li><strong>Collaboration:</strong> Ability to work closely with the front-end development team.</li>
<li><strong>Testing & Debugging:</strong> Conduct thorough testing and debugging to ensure system stability.</li>
<li><strong>Cloud Technologies:</strong> Experience with AWS or Google Cloud is a plus.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.paralleldots.com/company/careers#openings?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Python, MySQL",,20404
Software Engineer,no,0,2,3.5,4.2,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Job Description</strong></h4> 

<p>We are looking for a talented <strong>Software Engineer - Frontend Developer</strong> to join our dynamic team. As a Frontend Developer, you will be responsible for designing, developing, and implementing user interfaces for our web applications. You will work closely with the product management team to define and implement innovative solutions for the product direction, visuals, and experience.</p> 

<h4><strong style=""color: rgb(255, 0, 0);"">Responsibilities</strong></h4> 

<ul> 
<li><strong>Feature Development:</strong> Develop new user-facing features.</li> 
<li><strong>Reusable Code:</strong> Build reusable code and libraries for future use.</li> 
<li><strong>UI/UX Implementation:</strong> Ensure the technical feasibility of UI/UX designs.</li> 
<li><strong>Optimization:</strong> Optimize application for maximum speed and scalability.</li> 
<li><strong>Validation:</strong> Assure that all user input is validated before submitting to the backend.</li> 
<li><strong>Collaboration:</strong> Work with other team members and stakeholders.</li> 
<li><strong>Design & Development:</strong> Bridge the gap between graphic design and technical implementation.</li> 
<li><strong>Application Look & Feel:</strong> Define how the application looks and functions.</li> 
<li><strong>Cross-Browser Compatibility:</strong> Ensure design consistency across all platforms and browsers.</li> 
<li><strong>Industry Trends:</strong> Stay up to date on emerging technologies and industry trends.</li> 
</ul> 

<h4><strong style=""color: rgb(255, 0, 0);"">Requirements</strong></h4> 

<ul> 
<li><strong>Experience:</strong> Proven experience as a Frontend Developer or similar role.</li> 
<li><strong>Web Markup:</strong> Proficient understanding of HTML5, CSS3.</li> 
<li><strong>JavaScript Frameworks:</strong> Proficient understanding of client-side scripting and JavaScript frameworks such as ReactJS, AngularJS, Vue.js.</li> 
<li><strong>AJAX & Asynchronous Handling:</strong> Good understanding of asynchronous request handling, partial page updates, and AJAX.</li> 
<li><strong>Cross-Browser Compatibility:</strong> Proficient understanding of cross-browser issues and solutions.</li> 
<li><strong>Version Control:</strong> Familiarity with Git or other version control systems.</li> 
<li><strong>API Integration:</strong> Experience with RESTful APIs.</li> 
<li><strong>Education:</strong> Bachelor's degree in Computer Science, Engineering, or a relevant field.</li> 
<li><strong>Soft Skills:</strong> Excellent verbal communication skills, good problem-solving skills, and attention to detail.</li> 
</ul> 

<h4><strong style=""color: rgb(255, 0, 0);"">Preferred Skills</strong></h4> 

<ul> 
<li><strong>Responsive & Adaptive Design:</strong> Experience with responsive and adaptive design.</li> 
<li><strong>Backend Knowledge:</strong> Experience with backend development and server-side languages (e.g., Node.js, Python).</li> 
<li><strong>UI/UX Design:</strong> Experience with UI/UX design.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://adaglobal.darwinbox.com/ms/candidate/careers/a67ce73cbbbb92?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, React, JavaScript",,20405
Software Engineer,no,0,2,3.5,4.2,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Job Responsibilities</strong></h4> 

<ul> 
<li><strong>Software Design:</strong> Develop high-quality software design and architecture.</li> 
<li><strong>Task Execution:</strong> Identify, prioritize, and execute tasks in the software development life cycle.</li> 
<li><strong>Development:</strong> Develop tools and applications by producing clean, efficient code.</li> 
<li><strong>Automation:</strong> Automate tasks through appropriate tools and scripting.</li> 
<li><strong>Code Review:</strong> Review and debug code.</li> 
<li><strong>Testing:</strong> Perform validation and verification testing.</li> 
<li><strong>Collaboration:</strong> Work with internal teams and vendors to fix and improve products.</li> 
<li><strong>Documentation:</strong> Document development phases and monitor systems.</li> 
<li><strong>Technology Updates:</strong> Ensure software is up-to-date with the latest technologies.</li> 
</ul> 

<h4><strong style=""color: rgb(255, 0, 0);"">Job Skills</strong></h4> 

<ul> 
<li><strong>Experience:</strong> Proven experience as a Software Engineer.</li> 
<li><strong>Development & Scripting:</strong> Extensive experience in software development, scripting, and project management.</li> 
<li><strong>System Monitoring:</strong> Experience using system monitoring tools (e.g., New Relic) and automated testing frameworks.</li> 
<li><strong>Programming Languages:</strong> Knowledge of selected programming languages (e.g., Python, C++) and the Java/J2EE platform.</li> 
<li><strong>Database Expertise:</strong> In-depth knowledge of relational databases (e.g., PostgreSQL, MySQL) and NoSQL databases (e.g., MongoDB).</li> 
<li><strong>Operating Systems:</strong> Familiarity with various operating systems (Linux, Mac OS, Windows).</li> 
<li><strong>Problem-Solving:</strong> Analytical mind with problem-solving aptitude.</li> 
<li><strong>Independence:</strong> Ability to work independently.</li> 
<li><strong>Leadership & Organization:</strong> Excellent organizational and leadership skills.</li> 
<li><strong>Education:</strong> BSc/BA in Computer Science or a related degree.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://careerpage.co/gururo-private-limited/software-engineer-gu193?tk=37?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Java, Python, MongoDB",,20406
Software Engineer,no,0,2,19,25,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Responsibilities</strong></h4> 

<ul> 
<li><strong>End-to-End Development:</strong> Own the design, development, testing, deployment, and support of features and services from concept to delivery.</li> 
<li><strong>Quality Ownership:</strong> Ensure high code quality, performance, and maintainability by following best practices and conducting thorough code reviews, automated testing, and performance monitoring.</li> 
<li><strong>Collaboration:</strong> Work closely with cross-functional teams, including product managers, designers, and fellow engineers, to define and deliver features that meet both business and technical objectives.</li> 
<li><strong>Continuous Improvement:</strong> Proactively identify areas for improvement within the codebase, infrastructure, and development process. Drive solutions that increase team efficiency and code quality.</li> 
<li><strong>System Reliability:</strong> Monitor the health and performance of services and ensure timely resolution of issues and bugs.</li> 
<li><strong>Technical Innovation:</strong> Stay current with new technologies and trends to ensure the systems you build are modern, scalable, and aligned with industry best practices.</li> 
</ul> 

<h4><strong style=""color: rgb(255, 0, 0);"">Required Qualifications</strong></h4> 

<ul> 
<li><strong>Experience:</strong> 1 - 3 Years Experience in the Focus Scope of Responsibility: Component.</li> 
<li><strong>Front-End Development:</strong> Strong experience in building, designing, and front-end applications using JavaScript client-side frameworks (Angular, Vue, React).</li> 
<li><strong>Backend & APIs:</strong> Proven track record in creating scalable microservices, REST APIs, and distributed systems using Node.js and/or C#/.Net Framework.</li> 
<li><strong>Asynchronous Programming:</strong> Experience with asynchronous programming and optimizing client-side interaction/delivery.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://boards.eu.greenhouse.io/abbyy/jobs/4456158101?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,".Net, JavaScript",,20407
Software Developer ,no,0,2,2.5,3.2,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Designation / Job Title</strong></h4> 
<p><strong>Software Developer (0-2 Years Experience)</strong></p> 

<h4><strong style=""color: rgb(255, 0, 0);"">Qualification</strong></h4> 
<p><strong>B.E / B.Tech (CS, IS, IT), MCA, MSc (CS, IS, IT)</strong></p> 

<h4><strong style=""color: rgb(255, 0, 0);"">Skill Set Required</strong></h4> 
<ul> 
<li><strong>Basic Knowledge of:</strong> .Net, PHP, HTML, CSS, JavaScript, AJAX</li> 
<li><strong>Good Knowledge of:</strong> Object-oriented programming, ASP.NET</li> 
</ul> 

<h4><strong style=""color: rgb(255, 0, 0);"">Roles And Responsibilities</strong></h4> 
<ul> 
<li>Act as a single point of contact for all the engineering activities on the products.</li> 
<li>Ability to complete a project from its scratch.</li> 
</ul> 
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://virtuallabs.ca/career.php?id=94405?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, .Net , JavaScript",,20408
Software Engineer,no,0,2,2.2,3.5,3/28/2025,"<h4><strong style=""color: rgb(255, 0, 0);"">Software Engineer - Mobile and Edge (Sync Gateway)</strong></h4>

<p>As a Software Engineer on the Mobile development team, you will be responsible for designing and implementing new features for Sync Gateway, the component responsible for secure data synchronization and access control for mobile and edge solutions. You will be developing a highly-available and concurrent enterprise-grade system software. The ideal candidate will have a strong technical background, excellent communication skills, and proactive problem-solving skills.</p>

<h4><strong style=""color: rgb(255, 0, 0);"">Requirements</strong></h4>
<ul>
<li><strong>Bachelor's degree</strong> in Computer Science or equivalent.</li>
<li>Around <strong>2 years of development experience</strong> on enterprise system software.</li>
<li><strong>Proficiency in Golang</strong> is preferred.</li>
<li>Experience with designing and writing <strong>concurrent/multi-threaded programs.</strong></li>
<li>Experience with <strong>performance analysis and debugging.</strong></li>
<li>Experience in <strong>Distributed Systems</strong> is a plus.</li>
<li>Self-motivated, independent, and a high-performance individual.</li>
<li>Ability to learn quickly and enjoy solving complex challenges.</li>
<li>Excellent <strong>communication</strong> and <strong>teamwork skills.</strong></li>
</ul>

<h4><strong style=""color: rgb(255, 0, 0);"">Responsibilities</strong></h4>
<ul>
<li>Design and develop features to enhance <strong>functionality, performance, and reliability</strong> for Couchbase Sync Gateway.</li>
<li>Contribute to <strong>design and architecture discussions</strong> and collaborate with team members to take ownership of functional areas of the product.</li>
<li>Produce <strong>enterprise-level quality software</strong> that ensures high performance and availability.</li>
<li>Investigate and resolve <strong>customer-facing issues</strong> by implementing optimal software solutions.</li>
<li>Provide high-quality and detailed <strong>technical specifications</strong> within the team as well as external teams.</li>
</ul>",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://job-boards.greenhouse.io/couchbaseinc/jobs/4448376006?gh_jid=4448376006?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"SQL, Java",,20409
Junior Software Engineer,no,0,2,8,10,3/28/2025,"<h4 style=""color: red;""><strong>As Our Junior Software Engineer in the Infrastructure Team, You Will</strong></h4>
<ul>
<li>Build expertise in different email providers, such as Gmail, Outlook, Yahoo, Exchange, etc.</li>
<li>Work on email strategy adjustment, performance improvement, email storage, and high availability and scalability.</li>
<li>Be responsible for the email system’s data storage and related improvements.</li>
<li>Understand business requirements and participate in discussions with different stakeholders to design technical solutions.</li>
<li>Be creative and study new technologies in the space to ensure high availability and scalability for email systems.</li>
<li>Maintain existing services, work on iterative upgrades, deploy improvements, and handle service governance.</li>
</ul>

<h4 style=""color: red;""><strong>As Our Junior Software Engineer in the Data Feeds Team, You Will</strong></h4>
<ul>
<li>Develop, optimize, and maintain scalable data pipelines for structured and unstructured data processing.</li>
<li>Maintain and enhance the stability, reliability, and high availability of existing data systems and services.</li>
<li>Collaborate with the team to build and refine an expandable, high-performance data architecture.</li>
<li>Partner with various teams to deliver high-quality, dependable data services to internal users.</li>
<li>Understand product and business requirements to design and implement data functionalities, including intuitive data visualizations.</li>
<li>Oversee the integration and maintenance of collaborative data with third-party clients, addressing their data mining and analytical requirements.</li>
<li>Work closely with teams in the US, Singapore, and China, adapting to flexible work hours as needed.</li>
<li>Enforce best practices in data governance, security, and compliance to protect sensitive information.</li>
</ul>

<h4 style=""color: red;""><strong>You Are Likely To Succeed If You Have</strong></h4>
<ul>
<li>Bachelor's degree in Computer Science or related majors, with 2+ years of backend experience.</li>
<li>Solid computer foundation and programming skills, with familiarity with common data structures and algorithms.</li>
<li>2+ years of experience in one of the following languages: Go/Python.</li>
<li>Familiarity with one of the following open-source components: MySQL, Redis, Message Queue, NoSQL.</li>
<li>Experience in architecture and developing large-scale distributed systems (for the infrastructure team).</li>
<li>Familiarity with one or more of the following: Spark, Hadoop, Hive, or Elasticsearch (for the data feeds team).</li>
<li>Excellent logical analysis capabilities, with the ability to abstract and split business logic effectively.</li>
<li>Familiarity with email protocols (IMAP/SMTP) is a plus.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://job-boards.greenhouse.io/yipitdata/jobs/3947930?gh_src=9395f1371ushttps://xerox.avature.net/en_US/careers/JobDetail/Software-Engineering-Engineer-I/46045,"Python, MySQL",,20410
Software Engineering - Engineer I,no,0,2,4.5,5.2,3/28/2025,"<h4 style=""color: red;""><strong>Primary Responsibilities</strong></h4> 

<h4 style=""color: red;""><strong>May perform one or more of the following:</strong></h4> 
<ul> 
<li>Plans, designs, develops, and tests software systems or applications for software enhancements and new products.</li> 
<li>May develop a range of products including device drivers, patches, operating system modifications, graphics modules, etc.</li> 
<li>Analyzes, programs, and modifies software enhancements and/or new products used in local, networked, or Internet-related computer programs.</li> 
<li>Using current programming languages and technologies, writes code, completes programming, and performs testing and debugging of applications.</li> 
<li>Plans and directs studies of potential electronic data processing applications.</li> 
<li>Develops and installs programs to support general business applications running on PCs.</li> 
<li>Designs web pages, including graphics, animation, and functionality; develops infrastructure and applications related to pages.</li> 
<li>May make hardware or software purchasing recommendations regarding web development.</li> 
<li>All other duties as assigned.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://xerox.avature.net/en_US/careers/JobDetail/Software-Engineering-Engineer-I/46045?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, SQL, Java",,20411
Software Engineer,no,0,2,3.5,4.2,3/28/2025,"<h4 style=""color: red;""><strong>About This Role</strong></h4>
<p>As a Software Engineer, you will be responsible for implementing and maintaining software solutions in Python, 
working with AWS cloud platforms, and container orchestration tools (Kubernetes, Docker). You will collaborate with 
senior engineers, participate in code reviews, and help improve system performance and security.</p>

<p><strong>On-Call Support:</strong> This role requires participation in an on-call support rotation, where you will be 
responsible for handling incidents and ensuring system reliability for a designated one-week period on a scheduled basis.</p>

<h4 style=""color: red;""><strong>Key Responsibilities</strong></h4>
<ul>
<li>Develop and maintain microservices using Python and Golang.</li>
<li>Work with Kubernetes and Docker to manage containerized applications.</li>
<li>Write unit and component tests to ensure software quality.</li>
<li>Automate infrastructure management using Terraform.</li>
<li>Work with message-driven architectures and integrate message systems.</li>
<li>Learn and apply security best practices, including tools like Snyk and Dependabot.</li>
</ul>

<h4 style=""color: red;""><strong>Qualifications</strong></h4>

<h4 style=""color: red;""><strong>Required:</strong></h4>
<ul>
<li>Have a background in software engineering with a minimum of 3+ years of experience, and a bachelor's in Computer Science or related domains.</li>
<li>Proficiency in Python. (2+ years)</li>
<li>Experience with AWS cloud services.</li>
<li>Hands-on experience with Kubernetes and Docker.</li>
<li>Basic understanding of Terraform for infrastructure automation.</li>
<li>Familiarity with unit and component testing.</li>
<li>Experience with messaging systems.</li>
</ul>

<h4 style=""color: red;""><strong>Desired:</strong></h4>
<ul>
<li>Experience in Golang.</li>
<li>Experience with Azure cloud services.</li>
<li>Experience with observability tools like Grafana.</li>
<li>Familiarity with NATS for messaging.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://outsystems.wd5.myworkdayjobs.com/OutSystems/job/India---Bangalore/Software-Engineer_R632?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Python,,20412
